Date,Channel,Campaign,Impressions,Clicks,Leads,Conversions,Spend
2024-01-01,Google Ads,Winter Sale,12000,3200,1400,420,18000
2024-01-01,Facebook Ads,Winter Sale,15000,4100,1700,390,20000
2024-01-01,Instagram Ads,Winter Sale,11000,2900,1200,310,15000
2024-01-01,Email Marketing,Winter Sale,6000,2400,1600,520,5000
2024-01-01,LinkedIn Ads,Winter Sale,7000,1800,700,150,9000

2024-01-10,Google Ads,New Year Offer,14000,3600,1600,480,20000
2024-01-10,Facebook Ads,New Year Offer,16000,4300,1900,420,22000
2024-01-10,Instagram Ads,New Year Offer,13000,3300,1500,350,17000
2024-01-10,Email Marketing,New Year Offer,8000,3000,1900,620,6000
2024-01-10,LinkedIn Ads,New Year Offer,9000,2200,900,210,11000

2024-01-20,Google Ads,Flash Sale,10000,2800,1200,360,16000
2024-01-20,Facebook Ads,Flash Sale,13000,3500,1500,330,18000
2024-01-20,Instagram Ads,Flash Sale,9000,2400,1000,260,13000
2024-01-20,Email Marketing,Flash Sale,7000,2700,1800,580,5500
2024-01-20,LinkedIn Ads,Flash Sale,6000,1600,600,140,8000
